,NCBI GeneID,Gene symbol,avg. control,avg. Nosema,avg. BQCV,avg. both,log(FC) Nosema,log(FC) BQCV,log(FC) both,norm. log(FC) Nosema,norm. log(FC) BQCV,norm. log(FC) both
591,406115,LOC406115,223.66666666666666,296.0,2002.3333333333333,849.0,0.2802033616508334,2.1919117095814866,1.3339026014549333,0.5248220636044938,0.8502604220040877,0.6849366094751728
654,413083,LOC413083,9.0,156.0,107.0,10.0,2.8526314876056236,2.475604341237833,0.10536141565742127,0.8030977994673092,0.883051788383679,0.5482967278893156
3020,725017,LOC725017,3.3333333333333335,93.33333333333333,109.0,9.5,3.332204545889489,3.4873751084842466,1.0473193451576908,0.8549762346109113,1.0,0.6530624625945987
7535,100576779,LOC100576779,1.0,107.0,1.3333333333333333,64.5,4.6728288438077,0.28768282245149956,4.166665239305603,1.0,0.6301550680373309,1.0
